date_code,value,variable,official_name
2020-04-11,324,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-10,302,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-13,352,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-12,337,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-07,243,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-06,231,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-09,280,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-08,259,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-19,509,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-18,451,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-21,562,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-20,542,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-15,380,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-14,367,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-17,431,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-16,400,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-27,81,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-26,75,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-29,94,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-28,94,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-23,40,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-22,30,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-25,59,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-24,43,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-03,189,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-02,172,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-05,226,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-04,208,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-31,131,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-30,103,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-01,146,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-12,856,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-11,839,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-14,863,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-13,859,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-08,828,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-07,818,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-10,828,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-09,828,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-20,894,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-19,883,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-22,909,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-21,896,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-16,871,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-15,867,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-18,880,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-17,873,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-27,680,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-26,662,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-29,717,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-28,689,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-23,604,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-22,569,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-25,655,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-24,606,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-04,794,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-03,788,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-06,809,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-05,802,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-01,747,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-04-30,724,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-02,757,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-02,768,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-01,750,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-04,778,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-03,776,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-04-28,692,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-04-27,681,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-04-30,737,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-04-29,712,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-10,811,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-09,810,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-12,813,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-11,813,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-06,792,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-05,784,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-08,804,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-07,801,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-04-17,488,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-04-16,446,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-04-19,532,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-04-18,514,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-04-13,383,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-04-12,379,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-04-15,424,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-04-14,397,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-04-24,637,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-04-23,619,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-04-26,672,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-04-25,653,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-04-21,561,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-04-20,542,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-04-22,593,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-03-11,0,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-10,0,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-13,6,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-12,6,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-07,0,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-28,830,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-03-09,0,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-08,0,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-19,17,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-18,15,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-21,27,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-20,23,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-15,10,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-14,6,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-17,12,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-16,10,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-18,824,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-17,824,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-20,826,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-19,825,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-14,823,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-13,816,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-16,824,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-15,824,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-25,827,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-24,826,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-27,830,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-26,828,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-22,826,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-21,826,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-23,826,Testing - Cumulative people tested for COVID-19 - Positive,Fife
2020-05-22,1223,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-21,1218,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-24,1224,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-23,1223,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-18,1200,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-17,1189,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-20,1216,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-19,1206,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-08,0,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-07,0,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-10,0,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-09,0,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-05-26,1250,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-25,1245,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-28,1259,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-27,1256,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-07,973,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-06,957,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-09,1035,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-08,1001,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-03,898,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-02,889,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-05,946,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-04,931,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-14,1142,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-13,1123,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-16,1181,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-15,1152,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-11,1078,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-10,1050,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-12,1102,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-31,547,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-30,449,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-04-02,682,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-04-01,632,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-27,299,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-26,258,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-29,401,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-28,376,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-04-08,1166,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-04-07,1094,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-04-10,1314,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-04-09,1251,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-04-04,851,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-04-03,779,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-04-06,984,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-04-05,931,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-16,44,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-15,39,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-18,57,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-17,49,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-12,10,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-11,5,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-14,31,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-13,20,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-23,152,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-22,130,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-25,221,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-24,183,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-20,91,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-19,71,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-21,110,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
2020-03-21,20,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-20,19,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-23,24,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-22,23,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-17,18,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-16,12,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-19,18,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-18,18,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-29,62,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-28,52,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-31,86,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-30,66,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-25,29,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-24,24,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-27,45,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-26,31,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-28,919,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-27,919,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-08,0,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-07,0,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-05-24,917,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-23,915,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-26,918,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-05-25,917,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
2020-03-13,9,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-12,7,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-15,12,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-14,9,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-10,6,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-09,0,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-03-11,6,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-04-21,519,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-04-20,490,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-04-23,602,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-04-22,550,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-04-17,394,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-04-16,389,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
2020-04-19,464,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
